date,steel_price,galvanized_price,avg_steel_price,avg_galv_price,avg_ss_price
2/1/2025,698,958,0.57,0.75,1.82
3/1/2025,838,1100,0.62,0.75,1.88
4/1/2025,932,1209,0.6,0.75,1.88
5/1/2025,928,1195,0.6,0.75,1.88
6/1/2025,898,1103,0.61,0.74,1.88
7/1/2025,901,1096,0.6,0.72,1.81
8/1/2025,869,1089,0.56,0.73,1.83
9/1/2025,821,1028,0.57,0.71,1.84
10/1/2025,804,1000,0.56,0.72,1.83
11/1/2025,815,980,0.57,0.69,1.83
12/1/2025,878,1058,0.63,0.76,1.94
1/1/2026,906,1115,0.63,0.76,1.94
2/1/2026,961,1150,0.63,0.76,1.94
3/1/2026,1002,1205,0.63,0.76,1.94
