month,surcharge_304,surcharge_316,producer,notes
2/1/2025,0.7944,1.3176,Ryerson,REAL DATA DON'T DELETE
3/1/2025,0.8097,1.3214,Ryerson,REAL DATA DON'T DELETE
4/1/2025,0.8241,1.3383,Ryerson,REAL DATA DON'T DELETE
5/1/2025,0.8007,1.309,Ryerson,REAL DATA DON'T DELETE
6/1/2025,0.7993,1.2966,Ryerson,REAL DATA DON'T DELETE
7/1/2025,0.8132,1.3505,Ryerson,REAL DATA DON'T DELETE
8/1/2025,0.8111,1.3624,Ryerson,REAL DATA DON'T DELETE
9/1/2025,0.8128,1.4005,Ryerson,REAL DATA DON'T DELETE
10/1/2025,0.8099,1.4364,Ryerson,REAL DATA DON'T DELETE
11/1/2025,0.8048,1.4193,Ryerson,REAL DATA DON'T DELETE
12/1/2025,0.7936,1.3706,Ryerson,REAL DATA DON'T DELETE
1/1/2026,0.7971,1.3147,Ryerson,REAL DATA DON'T DELETE
2/1/2026,0.9113,1.4915,Ryerson,REAL DATA DON'T DELETE
3/1/2026,0.9432,1.6082,Ryerson,REAL DATA DON'T DELETE
